"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.461152818E0,1.300276220E-1,-1.370716095E-2,-4.129791260E-2
1.469127506E0,1.387165487E-1,6.108760834E-3,-6.558227539E-2
1.477105201E0,9.502645582E-2,7.176399231E-3,-1.188344955E-1
1.485083443E0,6.980068237E-2,-1.000404358E-3,-1.483564377E-1
1.493057584E0,5.375088006E-2,-3.859043121E-3,-1.542615891E-1
1.501039576E0,4.755772650E-2,-6.291866302E-3,-1.221084595E-1
1.509019850E0,8.046388626E-3,-5.102872849E-2,-5.212306976E-2
1.516999889E0,1.680149138E-2,-7.136154175E-2,2.238559723E-2
1.524979107E0,1.624050736E-2,-6.296110153E-2,5.858993530E-2
1.532956490E0,3.368687630E-2,-3.150463104E-2,-1.482200623E-2
1.540938209E0,5.447509885E-2,-2.483510971E-2,-4.944229126E-2
1.548924420E0,5.478534102E-2,-5.004882812E-3,-8.336257935E-2
1.556908482E0,5.007964373E-2,-1.988410950E-4,-3.069972992E-2
1.564889381E0,7.944250852E-2,-5.329608917E-3,4.613399506E-2
1.572872896E0,1.475534886E-1,3.394126892E-3,8.362770081E-3
1.580854264E0,1.679892540E-1,2.542018890E-3,-1.504421234E-2
1.588834693E0,1.358805895E-1,-3.034591675E-3,-4.327392578E-2
1.596817076E0,5.680997670E-2,9.541511536E-4,-4.753303528E-2
1.604800006E0,-7.830843329E-3,1.950883865E-2,-8.064270020E-2
1.612781178E0,-6.802549958E-2,2.850008011E-2,-1.233434677E-1
1.620758443E0,-1.099495888E-1,1.833677292E-2,-1.181774139E-1
1.628736373E0,-7.619169354E-2,3.471851349E-3,-1.035079956E-1
1.636716178E0,4.142507911E-3,1.797962189E-2,-7.488250732E-2
1.644694732E0,1.076437980E-1,7.125473022E-2,-2.740001678E-2
1.652677545E0,2.109272182E-1,1.106419563E-1,6.767463684E-2
1.660660748E0,3.162083626E-1,1.446256638E-1,2.110462189E-1
1.668641451E0,3.660200238E-1,1.159996986E-1,2.253856659E-1
1.676622310E0,3.599652350E-1,1.012587547E-1,1.825904846E-1
1.684603756E0,2.971298695E-1,7.174730301E-2,1.065330505E-1
1.692583990E0,2.105982751E-1,3.744697571E-2,1.166753769E-1
1.700565670E0,1.105509251E-1,1.251554489E-2,1.461200714E-1
1.708548795E0,9.235724062E-2,2.553367615E-2,1.183319092E-1
1.716529928E0,5.447818339E-2,1.898145676E-2,9.385108948E-3
1.724512818E0,3.906418383E-2,-7.516384125E-3,-1.771259308E-2
1.732494029E0,6.597703695E-2,-2.496385574E-2,2.252864838E-2
1.740477740E0,1.115587801E-1,-9.695529938E-3,2.972602844E-2
1.748460123E0,1.559602320E-1,4.329872131E-2,-4.415130615E-2
1.756441412E0,1.857989132E-1,4.784345627E-2,-4.586124420E-2
1.764423639E0,1.871944666E-1,3.282308578E-2,-1.574440002E-1
1.772407193E0,1.459600925E-1,3.564834595E-3,-2.451419830E-1
1.780391334E0,9.042538702E-2,-5.806446075E-3,-3.189163208E-1
1.788371256E0,1.095744967E-2,-4.246473312E-2,-3.217439651E-1
1.796351295E0,-3.514085710E-2,-5.347347260E-2,-2.920942307E-1
1.804328053E0,-9.685084224E-3,-4.377555847E-2,-2.490320206E-1
1.812312271E0,2.027049661E-2,-2.820348740E-2,-1.396017075E-1
1.820303482E0,4.993818700E-2,-2.946376801E-3,-7.334232330E-2
1.828294264E0,8.455869555E-2,7.676124573E-3,1.703071594E-2
1.836285631E0,1.430552900E-1,3.695678711E-2,2.630138397E-2
1.844278287E0,1.534457803E-1,4.160594940E-2,7.253646851E-3
1.852267115E0,8.680690825E-2,2.178573608E-2,-2.585029602E-2
1.860254732E0,4.336173832E-2,1.076745987E-2,-5.371189117E-2
1.868244576E0,3.248582780E-2,-1.514291763E-2,-3.817939758E-2
1.876231881E0,7.367269695E-2,-1.223516464E-2,-3.562927246E-3
1.884221139E0,1.438900083E-1,-9.275436401E-3,4.060554504E-2
1.892206998E0,2.194891423E-1,4.217910767E-2,8.441734314E-2
1.900192193E0,2.474200875E-1,7.966279984E-2,1.040544510E-1
1.908177584E0,2.416973114E-1,6.477880478E-2,1.426553726E-1
1.916163365E0,2.073587030E-1,4.994058609E-2,1.812267303E-1
1.924152271E0,1.640742719E-1,1.090717316E-2,1.864538193E-1
1.932140396E0,1.109869778E-1,-4.847526550E-3,1.968708038E-1
1.940129498E0,5.336114764E-2,-1.158094406E-2,2.124204636E-1
1.948115592E0,6.840352714E-2,-9.760379791E-3,2.477741241E-1
1.956094225E0,1.270214319E-1,1.457738876E-2,1.834564209E-1
