"Time (s)","Pressure (hPa)"
2.371494111E2,9.952258911E2
2.372292385E2,9.952137451E2
2.373090845E2,9.952240601E2
2.373889043E2,9.952396851E2
2.374687415E2,9.952440186E2
2.375485972E2,9.952366943E2
2.376284500E2,9.952316895E2
2.377082703E2,9.952116699E2
2.377880916E2,9.952006226E2
2.378679256E2,9.952120361E2
2.379477696E2,9.952240601E2
2.380277081E2,9.952319946E2
2.381076097E2,9.952343750E2
2.381874461E2,9.952260742E2
2.382673279E2,9.952043457E2
2.383472580E2,9.951909180E2
2.384271058E2,9.951890259E2
2.385069465E2,9.951968384E2
2.385867850E2,9.952102661E2
2.386666356E2,9.952191772E2
2.387465151E2,9.952246704E2
2.388263786E2,9.952204590E2
2.389062390E2,9.952138672E2
2.389861638E2,9.952084351E2
2.390661230E2,9.952130737E2
2.391460445E2,9.952240601E2
2.392258810E2,9.952338867E2
